C alpha,L alpha,GE alpha,SW alpha,Q alpha,C beta,L beta,GE beta,SW beta,Q beta,C delta,L delta,GE delta,SW delta,Q delta,C gamma,L gamma,GE gamma,SW gamma,Q gamma,C theta,L theta,GE theta,SW theta,Q theta,Class
0.037285,1.693,0.64925,1.0402,0.16972,0.015669,1.6909,0.64961,1.0857,0.16074,0.098347,1.6602,0.55412,0.84762,0.11762,0.0835,1.6896,0.6498,0.99031,0.12387,0.027017,1.689,0.64993,1.0169,0.18026,3
0.044901,1.7014,0.64784,0.96751,0.1805,0.013506,1.6903,0.6497,1.1047,0.18161,0.029495,1.6944,0.64901,1.0752,0.18164,0.074494,1.6894,0.64984,1.0368,0.14288,0.025535,1.6992,0.64821,1.0032,0.15608,3
0.018745,1.6906,0.64965,1.0049,0.16278,0.0097011,1.6891,0.64991,1.0106,0.13628,0.04708,1.7139,0.64575,0.951,0.14763,0.063609,1.6886,0.64998,1.0052,0.12774,0.02281,1.6952,0.64889,1.0063,0.17162,3
0.020665,1.6903,0.6497,0.95484,0.13757,0.011919,1.6891,0.64991,1.0373,0.14835,0.035009,1.6999,0.64809,0.9714,0.15785,0.08649,1.6894,0.64984,1.0227,0.11306,0.032235,1.7005,0.648,0.89727,0.15811,3
0.027101,1.7033,0.64009,0.90229,0.16041,0.01419,1.7069,0.64691,0.99802,0.15893,0.025521,1.6906,0.64965,1.0877,0.18979,0.063248,1.6887,0.64995,1.013,0.13377,0.029116,1.699,0.64824,0.96924,0.18491,3
0.023393,1.6921,0.64941,0.99496,0.18576,0.013171,1.7143,0.64568,0.95866,0.16672,0.050759,1.715,0.64556,0.95714,0.18532,0.083939,1.6922,0.64937,0.96131,0.13578,0.04494,1.7121,0.64605,1.0098,0.13472,3
0.020567,1.6907,0.64964,1.0536,0.16301,0.019711,1.6923,0.64937,1.0484,0.16439,0.10005,1.7064,0.647,0.90431,0.13323,0.075582,1.6896,0.64981,0.95966,0.10497,0.034461,1.6912,0.64956,1.0834,0.11991,3
0.034227,1.7247,0.64394,0.97919,0.16242,0.031984,1.7176,0.63776,0.88533,0.10264,0.020977,1.689,0.64993,1.0461,0.18397,0.073259,1.6892,0.64987,0.97691,0.1318,0.041614,1.7234,0.64423,1.0259,0.15794,3
0.031095,1.6952,0.64889,0.82284,0.15983,0.028334,1.7034,0.64751,0.81952,0.099319,0.037553,1.7087,0.64662,1.1564,0.24257,0.073984,1.6888,0.64994,1.0159,0.12199,0.022921,1.692,0.64942,1.136,0.23244,3
0.017055,1.689,0.64993,1.0741,0.15909,0.031353,1.7256,0.62916,0.72112,0.074513,0.027248,1.6909,0.64961,1.1471,0.22435,0.069642,1.6904,0.64968,1.0211,0.13319,0.020454,1.6892,0.64988,1.0045,0.16537,3
0.022195,1.69,0.64976,1.0489,0.18435,0.032339,1.7107,0.64628,0.90445,0.099709,0.027347,1.6907,0.64964,0.9431,0.19729,0.068419,1.6888,0.64994,1.0139,0.11776,0.022796,1.6889,0.64994,1.1055,0.17967,3
0.034359,1.7258,0.62905,0.88952,0.13965,0.012603,1.7007,0.64795,0.98533,0.20931,0.02339,1.6996,0.64815,1.1373,0.25898,0.06626,1.6919,0.64941,1.0125,0.15415,0.052407,1.7074,0.64683,1.0973,0.11214,3
